SALES_STAFF_CODE,FIRST_NAME,LAST_NAME,POSITION_EN,WORK_PHONE,EXTENSION,FAX,EMAIL,DATE_HIRED,SALES_BRANCH_CODE,MANAGER_CODE
30,Karin,Bergström,Branch Manager,+(46) 08 753 116,215,+(46) 08 752 592,KBergstrom@grtd123.com,1998-04-27 00:00:00.000,15,18
43,Martine,Vachon,Level 2 Sales Representative,1 (403) 232-5986,312,1 (403) 232-5831,MVachon@grtd123.com,1998-03-18 00:00:00.000,17,45
44,Harold,Townsend,Level 3 Sales Representative,1 (403) 232-5986,315,1 (403) 232-5831,HTownsend@grtd123.com,1992-08-08 00:00:00.000,17,45
45,Sally,White,Branch Manager,1 (403) 232-5986,317,1 (403) 232-5831,SWhite@grtd123.com,1992-03-26 00:00:00.000,17,47
46,Sherry,Rowland,Level 2 Sales Representative,1 (403) 232-5986,325,1 (403) 232-5831,SRowland@grtd123.com,1997-02-13 00:00:00.000,17,45
47,Frank,Bretton,District Manager,1 (403) 232-5986,301,1 (403) 232-5831,FBretton@grtd123.com,2000-03-01 00:00:00.000,17,72
48,Georges,Saint-Germain,Branch Manager,1 (416) 493-5595,1245,1 (416) 496-9667,GSaintgermain@grtd123.com,1991-10-27 00:00:00.000,18,47
49,Carole,Claudel,Level 2 Sales Representative,1 (416) 493-5595,2378,1 (416) 496-9667,CClaudel@grtd123.com,1994-08-12 00:00:00.000,18,48
50,Donald,Chow,Level 3 Sales Representative,1 (416) 493-5595,6587,1 (416) 490-7420,DChow@grtd123.com,1990-04-14 00:00:00.000,18,48
51,Samantha,Pierce,Level 2 Sales Representative,1 (416) 493-5595,4589,1 (416) 490-7420,SPierce@grtd123.com,1998-03-15 00:00:00.000,18,48
52,Brendon,Pike,Level 1 Sales Representative,1 (416) 493-5595,2189,1 (416) 496-9667,BPike@grtd123.com,1999-12-20 00:00:00.000,18,48
53,Alex,Rodriguez,Branch Manager,1 (617) 268-6754,1334,1 (617) 268-3464,ARodriguez@grtd123.com,1992-02-07 00:00:00.000,19,47
54,Allisia,Wilcox,Level 2 Sales Representative,1 (617) 268-6754,1436,1 (617) 268-3464,AWilcox@grtd123.com,1997-07-12 00:00:00.000,19,53
55,Pierre,Lavoie,Level 3 Sales Representative,1 (617) 268-6754,1447,1 (617) 268-3464,PLavoie@grtd123.com,1994-10-08 00:00:00.000,19,53
56,Rhonda,Cummings,Level 2 Sales Representative,1 (617) 268-6754,1384,1 (617) 268-3464,RCummings@grtd123.com,1996-05-06 00:00:00.000,19,53
57,Samantha,Floyd,Branch Manager,1 (206) 292-0012,331,1 (206) 292-3312,SFloyd@grtd123.com,1995-07-17 00:00:00.000,20,47
58,Ashley,McCormick,Level 2 Sales Representative,1 (206) 292-0012,384,1 (206) 292-3312,AMccormick@grtd123.com,1996-04-15 00:00:00.000,20,57
59,Audrey,Lastman,Level 3 Sales Representative,1 (206) 292-0012,396,1 (206) 292-3312,ALastman@grtd123.com,1995-02-15 00:00:00.000,20,57
60,Bart,Scott,Level 2 Sales Representative,1 (206) 292-0012,312,1 (206) 292-3312,BScott@grtd123.com,1997-11-28 00:00:00.000,20,57
61,Julie,Olsen,Branch Manager,1 (310) 281-5722,2045,1 (310) 281-9087,JOlsen@grtd123.com,1998-02-18 00:00:00.000,22,71
62,Ken,Chambers,Level 2 Sales Representative,1 (310) 281-5722,2123,1 (310) 281-9087,KChambers@grtd123.com,1998-04-03 00:00:00.000,22,61
63,Chad,Michaels,Level 3 Sales Representative,1 (310) 281-5722,2178,1 (310) 281-9087,CMichaels@grtd123.com,1996-05-17 00:00:00.000,22,61
64,Maureen,Hoffman,Level 2 Sales Representative,1 (310) 281-5722,2160,1 (310) 281-9087,MHoffman@grtd123.com,1998-07-22 00:00:00.000,22,61
65,Corey,Wright,Branch Manager,1 (305) 557-4810,3490,1 (305) 557-7650,CWright@grtd123.com,1995-10-11 00:00:00.000,21,47
66,Dale,Fowler,Level 2 Sales Representative,1 (305) 557-4810,3652,1 (305) 557-7650,DFowler@grtd123.com,1998-02-12 00:00:00.000,21,65
67,Lowell,Johnson,Level 2 Sales Representative,1 (305) 557-4810,3335,1 (305) 557-7650,LJohnson@grtd123.com,1997-03-06 00:00:00.000,21,65
68,Margaret,Lewiston,Level 2 Sales Representative,1 (305) 557-4810,3121,1 (305) 557-7650,MLewiston@grtd123.com,1996-08-18 00:00:00.000,21,65
69,Eric,Carson,Level 2 Sales Representative,1 (617) 268-6754,1387,1 (617) 268-3464,ECarson@grtd123.com,1996-11-08 00:00:00.000,19,53
70,Valerie,Cohen,Level 2 Sales Representative,1 (305) 557-4810,3547,1 (305) 557-7650,VCohen@grtd123.com,1997-07-23 00:00:00.000,21,65
71,Estelle,Johnson,District Manager,1 (617) 268-6754,1399,1 (617) 268-3464,EJohnson@grtd123.com,1998-12-04 00:00:00.000,19,72
72,Greg,Belding,Regional Manager,1 (206) 292-0012,373,1 (206) 292-3312,GBelding@grtd123.com,1998-12-04 00:00:00.000,20,108
73,Harold,Germaine,Level 1 Sales Representative,1 (310) 281-5722,2088,1 (310) 281-9087,HGermaine@grtd123.com,1998-11-19 00:00:00.000,22,61
74,Janice,Thomas,Level 1 Sales Representative,1 (305) 557-4810,3207,1 (305) 557-7650,JThomas@grtd123.com,1998-06-12 00:00:00.000,21,65
75,Julie,Béchard,Branch Manager,+33 4 52 26 33 88,1315,+33 4 66 35 98 95,JBechard@grtd123.com,1994-09-03 00:00:00.000,23,18
76,Florence,Martin,Level 2 Sales Representative,+33 4 52 26 33 88,1318,+33 4 66 35 98 95,FMartin@grtd123.com,1997-08-23 00:00:00.000,23,75
77,Daniel,Turpin,Level 2 Sales Representative,+33 4 52 26 33 88,1316,+33 4 66 35 98 95,DTurpin@grtd123.com,1998-05-13 00:00:00.000,23,75
78,Frédéric,Samson,Level 3 Sales Representative,+33 4 52 26 33 88,1322,+33 4 66 35 98 95,FSamson@grtd123.com,1994-02-21 00:00:00.000,23,75
79,Lucía,Reyna,Branch Manager,+(525) 549 6090,452,+(52) 549 6088,LReyna@grtd123.com,1997-03-10 00:00:00.000,24,71
80,Ana,Orozco,Level 2 Sales Representative,+(525) 549 6090,449,+(52) 549 6088,AOrozco@grtd123.com,1997-10-11 00:00:00.000,24,79
81,Gabriela,Rojas,Level 2 Sales Representative,+(525) 549 6090,465,+(52) 549 6088,GRojas@grtd123.com,1998-03-19 00:00:00.000,24,79
83,Machiko,Iseya,Level 1 Sales Representative,81-3-6259-6601,2236,81-3-6208-4445,MIseya@grtd123.com,1999-02-21 00:00:00.000,25,87
85,Genzo,Imori,Level 3 Sales Representative,81-3-6259-6601,2245,81-3-6208-4445,GImori@grtd123.com,1998-01-05 00:00:00.000,25,87
87,Kazumi,Uragome,District Manager,81-6-616-5656,2156,81-6-616-5657,KUragome@grtd123.com,1998-11-05 00:00:00.000,26,13
88,Masuzo,Kakui,Level 3 Sales Representative,81-6-616-5656,2155,81-6-616-5657,MKakui@grtd123.com,1998-05-12 00:00:00.000,26,87
89,Alice,Walter,Branch Manager,+(61) 03 2982  4242,1845,+(61) 03 2982  4243,AWalter@grtd123.com,1999-09-08 00:00:00.000,28,87
90,Dave,Smythe,Level 1 Sales Representative,+(61) 03 2982  4242,1875,+(61) 03 2982  4243,DSmythe@grtd123.com,2000-01-10 00:00:00.000,28,89
91,Donald,Ward,Level 2 Sales Representative,+(61) 03 2982  4242,1874,+(61) 03 2982  4243,DWard@grtd123.com,1999-11-29 00:00:00.000,28,89
92,Jake,Cartel,Level 2 Sales Representative,+(61) 03 2982  4242,1648,+(61) 03 2982  4243,JCartel@grtd123.com,1999-12-15 00:00:00.000,28,89
93,John,Sinden,Level 3 Sales Representative,+(61) 03 2982  4242,1892,+(61) 03 2982  4243,JSinden@grtd123.com,1999-11-30 00:00:00.000,28,89
94,Yolanda,Torres,Level 3 Sales Representative,+35 94 322 3540,125,+35 91 548 1637,YTorres@grtd123.com,1995-08-29 00:00:00.000,29,18
95,Tomás,Iglesias,Level 2 Sales Representative,+35 94 322 3540,325,+35 91 548 1637,TIglesias@grtd123.com,1998-02-19 00:00:00.000,29,18
96,Bayard,Lopes,Branch Manager,+55 (11) 344-4444,3490,+55 (11) 333-2223,BLopes@grtd123.com,1997-08-12 00:00:00.000,30,71
97,Viviam,Barros,Level 3 Sales Representative,+55 (11) 344-4444,3364,+55 (11) 333-2223,VBarros@grtd123.com,2001-02-10 00:00:00.000,30,96
98,Eduardo,Guimarães,Level 2 Sales Representative,+55 (11) 344-4444,1442,+55 (11) 333-2223,EGuimaraes@grtd123.com,1999-02-14 00:00:00.000,30,96
99,Helena,Lindholm,Level 3 Sales Representative,+358(0)17 - 433 127,489,+358(0)17 - 433 129,HLindholm@grtd123.com,1997-08-17 00:00:00.000,31,18
100,Tuomas,Savolainen,Level 2 Sales Representative,+358(0)17 - 433 127,825,+358(0)17 - 433 129,TSavolainen@grtd123.com,1998-07-23 00:00:00.000,31,18
101,Chang-ho,Kim,Level 2 Sales Representative,82-2-778-6587,1228,82-2-778-6586,CKim@grtd123.com,1998-12-15 00:00:00.000,32,87
102,Jung-ho,Choi,Level 3 Sales Representative,82-2-778-6587,2641,82-2-778-6586,JChoi@grtd123.com,1998-11-27 00:00:00.000,32,87
103,Kwei-Ping ,Kao ,Level 2 Sales Representative,886-2-2975-1988,1541,886-2-2989-4978,KKwao@grtd123.com,1998-10-07 00:00:00.000,33,87
104,Chin-Tsai,Fang,Level 3 Sales Representative,886-2-2975-1988,2311,886-2-2989-4978,CFon@grtd123.com,1996-05-08 00:00:00.000,33,87
105,Xiangyong,Wang,Level 2 Sales Representative,86-21-6790-5612,334,86-21-6790-5612,XWang@grtd123.com,1998-05-07 00:00:00.000,34,87
106,Fei,Meng,Level 3 Sales Representative,86-21-6790-5612,365,86-21-6790-5612,FMeng@grtd123.com,1998-03-25 00:00:00.000,34,87
107,Walter,Taylor,Branch Manager,+(44) 181 2033144,3547,+(44) 181 5030282,WTaylor@grtd123.com,1995-06-09 00:00:00.000,35,18
108,Penelope,Tamrine,General Manager,+(44) 181 2033144,3542,+(44) 181 5030282,PTamrine@grtd123.com,1998-12-18 00:00:00.000,35,108
109,Humphrey,Willoughby,Level 2 Sales Representative,+(44) 181 2033144,3544,+(44) 181 5030282,HWilloughby@grtd123.com,1998-06-12 00:00:00.000,35,107
110,James,Ross-Hythe,Level 3 Sales Representative,+(44) 181 2033144,3621,+(44) 181 5030282,JHythe@grtd123.com,1997-09-12 00:00:00.000,35,107
111,Polly,Linton,Branch Manager,+(44) 121 3505267,1216,+(44) 121 3583843,PLinton@grtd123.com,1996-06-18 00:00:00.000,36,18
112,Josef,Lopez,Level 1 Sales Representative,+(44) 121 3505267,1287,+(44) 121 3583843,JLopez@grtd123.com,1999-01-02 00:00:00.000,36,111
113,Keith,Reed,Level 1 Sales Representative,+(44) 121 3505267,1198,+(44) 121 3583843,KReed@grtd123.com,1999-06-15 00:00:00.000,36,111
114,Janet,Walker,Level 3 Sales Representative,+(44) 121 3505267,1233,+(44) 121 3583843,JWalker@grtd123.com,1995-07-27 00:00:00.000,36,111
115,Emily,Browne,Level 2 Sales Representative,+(44) 121 3505267,1247,+(44) 121 3583843,EBrowne@grtd123.com,1998-07-20 00:00:00.000,36,111
116,Susanne,Sommer,Level 2 Sales Representative,+(41) 17 12 13 14,1115,+(41) 17 12 13 20,SSommer@grtd123.com,2000-01-17 00:00:00.000,37,18
117,Frank,Jever,Level 3 Sales Representative,+(41) 17 12 13 14,1154,+(41) 17 12 13 20,FJever@grtd123.com,1999-10-18 00:00:00.000,37,18
118,Gianni,Vertemati,Level 1 Sales Representative,+(41) 17 12 13 14,1254,+(41) 17 12 13 20,GVertemati@grtd123.com,2000-02-10 00:00:00.000,37,18
119,Gracy,Gellens,Branch Manager,+32 16 20.73.21,1349,+32 16 20.73.32,GGellens@grtd123.com,1999-09-10 00:00:00.000,38,18
120,Giele,Laermans,Level 1 Sales Representative,+32 16 20.73.21,1340,+32 16 20.73.32,GLaermans@grtd123.com,1999-11-15 00:00:00.000,38,119
121,François,De Crée,Level 1 Sales Representative,+32 16 20.73.21,1642,+32 16 20.73.32,FDecree@grtd123.com,1999-12-01 00:00:00.000,38,119
122,Yvette,Lattrez,Level 3 Sales Representative,+32 16 20.73.21,1633,+32 16 20.73.32,YLattrez@grtd123.com,1999-12-09 00:00:00.000,38,119
123,Willi,Seefelder,Level 2 Sales Representative,+(43) 13 79 56 32,325,+(43) 13 79 56 33,WSeefelder@grtd123.com,1998-10-28 00:00:00.000,39,18
124,Sabine,Grüner,Level 3 Sales Representative,+(43) 13 79 56 32,348,+(43) 13 79 56 33,SGruner@grtd123.com,1998-02-18 00:00:00.000,39,18
